stream_content,name,time_parameter,stream_type,binsize_minutes,id,description
Tide Measurement Data Products,presf_tide_measurement,7,Science,1440,15,Science Tide Measurement Data Products
Status Data,presf_operating_status,7,Engineering,1440,16,Engineering Status Data
Calibration Data,presf_calibration_coefficients,7,Engineering,20160,17,Engineering Calibration Data
Data Products,ctdbp_no_sample,7,Science,1440,23,Science Data Products
Hardware Data,ctdbp_no_hardware,7,Engineering,20160,24,Engineering Hardware Data
Calibration Data,ctdbp_no_calibration_coefficients,7,Engineering,20160,25,Engineering Calibration Data
Status Data,ctdbp_no_status,7,Engineering,20160,26,Engineering Status Data
Configuration Data,ctdbp_no_configuration,7,Engineering,20160,27,Engineering Configuration Data
Data Products,parad_sa_sample,7,Science,720,28,Science Data Products
Data Products,prest_real_time,7,Science,20160,31,Science Data Products
Reference Oscillator Data,prest_reference_oscillator,7,Engineering,10080,32,Engineering Reference Oscillator Data
Configuration Data,prest_configuration_data,7,Engineering,20160,33,Engineering Configuration Data
Device Status,prest_device_status,7,Engineering,20160,34,Engineering Device Status
Event Counter Data,prest_event_counter,7,Engineering,20160,35,Engineering Event Counter Data
Hardware Data,prest_hardware_data,7,Engineering,20160,36,Engineering Hardware Data
,phsen_control_record,7,,20160,41,
Dev1 Data,pco2w_b_dev1_data_record,7,Engineering,20160,43,Engineering Dev1 Data
Status Data,pco2w_a_regular_status,7,Engineering,20160,44,Engineering Status Data
Configuration Data,pco2w_a_configuration,7,Engineering,20160,45,Engineering Configuration Data
Data Products,trhph_sample,7,Science,10080,47,Science Data Products
Hardware Configuration,vel3d_cd_hardware_configuration,7,Engineering,20160,56,Engineering Hardware Configuration
Header Configuration,vel3d_cd_head_configuration,7,Engineering,20160,57,Engineering Header Configuration
User Configuration,vel3d_cd_user_configuration,7,Engineering,20160,58,Engineering User Configuration
Data Products,optaa_sample,7,Science,720,61,Science Data Products
Status Data,optaa_status,7,Engineering,20160,62,Engineering Status Data
Data Products,tmpsf_sample,7,Science,10080,64,Science Data Products
Data,tmpsf_engineering,7,Engineering,20160,65,Engineering Data
Data Products,vel3d_b_sample,7,Science,1440,67,Science Data Products
Data,vel3d_b_engineering,7,Engineering,20160,68,Engineering Data
Data Products,adcp_pd0_earth_parsed,7,Science,1440,70,
,adcp_pd12_parsed,7,,1440,71,
,adcp_waves_parsed,7,,1440,72,
Compass Data,adcp_compass_calibration,7,Calibration,20160,73,Calibration Compass Data
System Configuration Data,adcp_system_configuration,7,Engineering,20160,74,Engineering System Configuration Data
Data Header,vel3d_cd_data_header,7,Engineering,20160,75,Engineering Data Header
Data Products,vel3d_cd_velocity_data,7,Science,360,76,Science Data Products
System Data,vel3d_cd_system_data,7,Engineering,1440,77,Engineering System Data
Clock Data,vel3d_clock_data,7,Engineering,20160,78,Engineering Clock Data
Battery Voltage,vel3d_cd_battery_voltage,7,Engineering,20160,79,Engineering Battery Voltage
Identification String,vel3d_cd_identification_string,7,Engineering,20160,80,Engineering Identification String
Wave Burst Data Products,presf_wave_burst,7,Science,1440,84,Science Wave Burst Data Products
Wave Statistics Data Products,presf_wave_statistics,7,Science,1440,85,Science Wave Statistics Data Products
NANO Sensor Data Products,botpt_nano_sample,7,Science,180,87,Science NANO Sensor Data Products
LILY Sensor Data Products,botpt_lily_sample,7,Science,1440,88,Science LILY Sensor Data Products
IRIS Sensor Data Products,botpt_iris_sample,7,Science,1440,89,Science IRIS Sensor Data Products
HEAT Sensor Data Products,botpt_heat_sample,7,Science,4320,90,Science HEAT Sensor Data Products
Data Products,adcp_pd0_beam_parsed,7,Science,1440,108,
Control Record,pco2w_a_control_record,7,Engineering,1440,111,Engineering Control Record
Data Products,phsen_data_record,7,Science,20160,112,Science Data Products
Status Data,phsen_regular_status,7,Engineering,20160,114,Engineering Status Data
Configuration Data,phsen_configuration,7,Engineering,20160,115,Engineering Configuration Data
In-Air Data Products (DCL),pco2a_a_dcl_instrument_air,7,Science,20160,121,Science In-Air Data Products (DCL)
In-Water Data Products (DCL),pco2a_a_dcl_instrument_water,7,Science,20160,122,Science In-Water Data Products (DCL)
,metbk_sample,7,,1440,124,
Status Data,metbk_status,7,Engineering,20160,125,Engineering Status Data
Pump Status,rasfl_sample_result,7,Engineering,20160,126,Engineering Pump Status
Data Products,d1000_sample,7,Science,10080,128,Science Data Products
Pump Status,ppsdn_sample_result,7,Engineering,20160,129,Engineering Pump Status
Data Products,spkir_data_record,7,Science,180,131,Science Data Products
Data Products,flort_d_data_record,7,Science,1440,133,Science Data Products
,ctdpf_parsed,7,,1440,136,
,phsen_parsed,7,,1440,152,
Data Products,ctdpf_ckl_wfp_instrument,7,Science,10080,153,Science Data Products
Metadata,ctdpf_ckl_wfp_metadata,7,Engineering,20160,154,Engineering Metadata
Data Products,dofst_k_wfp_instrument,7,Science,10080,155,Science Data Products
Metadata,dofst_k_wfp_metadata,7,Engineering,20160,156,Engineering Metadata
Data Products (STC),flort_kn_stc_imodem_instrument,7,Science,1440,157,Science Data Products (STC)
Data Products (STC),parad_k__stc_imodem_instrument,7,Science,20160,158,Science Data Products (STC)
STC Inductive Modem Status,wfp_eng_stc_imodem_status,7,Engineering,20160,159,Engineering STC Inductive Modem Status
STC Inductive Modem Data,wfp_eng_stc_imodem_engineering,7,Engineering,20160,160,Engineering STC Inductive Modem Data
Radar Target Enhancer Data (DCL),rte_o_dcl_instrument,7,Engineering,20160,161,Engineering Radar Target Enhancer Data (DCL)
Accelerometer Data (DCL),mopak_o_dcl_accel,7,Engineering,180,162,Engineering Accelerometer Data (DCL)
Rate Data (DCL),mopak_o_dcl_rate,7,Engineering,1440,163,Engineering Rate Data (DCL)
Data Products (STC),vel3d_k_wfp_stc_instrument,7,Science,10080,164,Science Data Products (STC)
Metadata (STC),vel3d_k_wfp_stc_metadata,7,Engineering,20160,165,Engineering Metadata (STC)
Metadata (STC),adcps_jln_stc_metadata,7,Engineering,20160,167,Engineering Metadata (STC)
STC Inductive Modem Start Time,wfp_eng_stc_imodem_start_time,7,Engineering,20160,168,Engineering STC Inductive Modem Start Time
Data Products,vel3d_k_wfp_instrument,7,Science,4320,170,Science Data Products
Data Products,ctdgv_m_glider_instrument,7,Science,20160,171,Science Data Products
Data Products,dosta_abcdjm_glider_instrument,7,Science,20160,172,Science Data Products
Data Products,dosta_abcdjm_glider_recovered,7,Science,4320,173,Science Data Products
Data Products,flord_m_glider_instrument,7,Science,20160,174,Science Data Products
Data Products,flort_m_glider_instrument,7,Science,1440,175,Science Data Products
Data Products,flort_m_glider_recovered,7,Science,1440,176,Science Data Products
Data Products,parad_m_glider_instrument,7,Science,20160,177,Science Data Products
Data Products,parad_m_glider_recovered,7,Science,360,178,Science Data Products
Data,glider_eng_telemetered,7,Engineering,1440,179,Engineering Data
Data,glider_eng_recovered,7,Engineering,1440,180,Engineering Data
Science Status Data,glider_eng_sci_telemetered,7,Engineering,20160,181,Engineering Science Status Data
Metadata,glider_eng_metadata,7,Engineering,20160,182,Engineering Metadata
Science Status Data,glider_eng_sci_recovered,7,Engineering,20160,183,Engineering Science Status Data
STC Controller Status Data,cg_stc_eng_stc,7,Engineering,20160,184,Engineering STC Controller Status Data
Data Products,dosta_ln_wfp_instrument,7,Science,20160,186,Science Data Products
,dosta_ln_wfp_sio_instrument,7,,1440,187,
Data Products,flord_l_wfp_instrument,7,Science,20160,188,Science Data Products
,flord_l_wfp_sio_instrument,7,,1440,189,
Glider Mule Metadata,ctdpf_ckl_wfp_sio_mule_metadata,7,Engineering,20160,190,Engineering Glider Mule Metadata
Status Data,trhph_status,7,Engineering,20160,191,Engineering Status Data
Status Data,flort_d_status,7,Engineering,10080,192,Engineering Status Data
Metadata,glider_eng_metadata_recovered,7,Engineering,20160,193,Engineering Metadata
Configuration Record Data,spkir_a_configuration_record,7,Engineering,20160,194,Engineering Configuration Record Data
,sami_regular_status,7,,1440,195,
Battery Voltage,phsen_battery_voltage,7,Engineering,20160,196,Engineering Battery Voltage
Thermistor Voltage,phsen_thermistor_voltage,7,Engineering,20160,197,Engineering Thermistor Voltage
Control Status Data,sio_eng_control_status,7,Engineering,20160,300,Engineering Control Status Data
Glider Mule Data Products,adcps_jln_sio_mule_instrument,7,Science,1440,301,Science Glider Mule Data Products
Ancillary System Data,adcp_ancillary_system_data,7,Engineering,20160,302,Engineering Ancillary System Data
